Week,Currency code,Cost,Conv. value
2024-09-23,CAD,10252.55,37526.45
2024-09-30,CAD,11437.25,33685.68
2024-10-07,CAD,9730.58,51419.7
2024-10-14,CAD,11603.2,35580.64
2024-10-21,CAD,12636.83,34724.41
2024-10-28,CAD,12404.2,39513.95
2024-11-04,CAD,12842.67,48724.72
2024-11-11,CAD,9475.67,34808.82
2024-11-18,CAD,8629.73,34807.08
2024-11-25,CAD,10817.6,61435.1
2024-12-02,CAD,13703.47,36972.93
2024-12-09,CAD,13722.13,59231.29
2024-12-16,CAD,12034.71,46447.89
2024-12-23,CAD,2692.76,20977.98
2024-12-30,CAD,4267.49,18128.08
2025-01-06,CAD,7297.7,20944.12
2025-01-13,CAD,8588.51,48145.56
2025-01-20,CAD,13210.45,44624.81
2025-01-27,CAD,17804.99,42288.26
2025-02-03,CAD,15695.08,60058.69
2025-02-10,CAD,13772.37,28296.48
2025-02-17,CAD,13073.93,36697.77
2025-02-24,CAD,11480.6,42544.32
2025-03-03,CAD,11269.1,24202.13
2025-03-10,CAD,12508.66,69920.86
2025-03-17,CAD,16714.59,32025.45
2025-03-24,CAD,22943.59,75580.69
2025-03-31,CAD,23514.42,59540.07
2025-04-07,CAD,18933.64,41949.66
2025-04-14,CAD,17048.92,119539.35
2025-04-21,CAD,18583.82,117260.97
2025-04-28,CAD,18968.27,112801.43
2025-05-05,CAD,23041.42,94033.02
2025-05-12,CAD,25465.26,131210.25
2025-05-19,CAD,26460.25,106307.62
2025-05-26,CAD,25022.19,111704.19
2025-06-02,CAD,27224.57,102134.05
2025-06-09,CAD,26372.87,153125.44
2025-06-16,CAD,21918.66,143178.35
2025-06-23,CAD,21788.27,149412.15
2025-06-30,CAD,24219.78,161515.11
2025-07-07,CAD,30660.33,166241.14
2025-07-14,CAD,27185.98,95148.11
2025-07-21,CAD,27553.69,131533.64
2025-07-28,CAD,22587.01,120462.14
2025-08-04,CAD,24823.51,112591.16
2025-08-11,CAD,26685.86,121012.39
2025-08-18,CAD,33810.55,111607.57
2025-08-25,CAD,31043.64,119791.98
2025-09-01,CAD,33272.83,97950.92
2025-09-08,CAD,25710.68,65187.78
2025-09-15,CAD,26850.74,61244.96
2025-09-22,CAD,4205.71,2026.27
