Hour of the day,Day of the week,Campaign type,Search top IS,Search lost IS (budget),Search lost IS (rank)
0,Sunday,Search,< 10%,34.92%,53.7%
0,Sunday,Shopping,--,--,--
0,Sunday,Video,--,--,--
0,Sunday,Demand Gen,--,--,--
0,Sunday,Performance Max,--,20.41%,76.32%
0,Monday,Search,< 10%,37.38%,52.23%
0,Monday,Shopping,--,--,--
0,Monday,Video,--,--,--
0,Monday,Demand Gen,--,--,--
0,Monday,Performance Max,--,16.28%,80.75%
0,Tuesday,Search,< 10%,33.43%,56.39%
0,Tuesday,Shopping,--,--,--
0,Tuesday,Video,--,--,--
0,Tuesday,Demand Gen,--,--,--
0,Tuesday,Performance Max,--,13.36%,83.15%
0,Wednesday,Search,< 10%,26.92%,62.51%
0,Wednesday,Shopping,--,--,--
0,Wednesday,Video,--,--,--
0,Wednesday,Demand Gen,--,--,--
0,Wednesday,Performance Max,--,6.74%,89.9%
0,Thursday,Search,< 10%,26.49%,63.02%
0,Thursday,Shopping,--,--,--
0,Thursday,Video,--,--,--
0,Thursday,Demand Gen,--,--,--
0,Thursday,Performance Max,--,9.69%,86.81%
0,Friday,Search,< 10%,27.82%,60.53%
0,Friday,Shopping,--,--,--
0,Friday,Video,--,--,--
0,Friday,Demand Gen,--,--,--
0,Friday,Performance Max,--,14.52%,82.24%
0,Saturday,Search,< 10%,29.26%,58.76%
0,Saturday,Shopping,--,--,--
0,Saturday,Video,--,--,--
0,Saturday,Demand Gen,--,--,--
0,Saturday,Performance Max,--,12.91%,83.71%
1,Sunday,Search,< 10%,34.4%,53.66%
1,Sunday,Shopping,--,--,--
1,Sunday,Video,--,--,--
1,Sunday,Demand Gen,--,--,--
1,Sunday,Performance Max,--,20.04%,76.46%
1,Monday,Search,< 10%,36.74%,52.16%
1,Monday,Shopping,--,--,--
1,Monday,Video,--,--,--
1,Monday,Demand Gen,--,--,--
1,Monday,Performance Max,--,16.04%,81.18%
1,Tuesday,Search,< 10%,32.46%,57.37%
1,Tuesday,Shopping,--,--,--
1,Tuesday,Video,--,--,--
1,Tuesday,Demand Gen,--,--,--
1,Tuesday,Performance Max,--,13.59%,82.88%
1,Wednesday,Search,< 10%,25.74%,63.3%
1,Wednesday,Shopping,--,--,--
1,Wednesday,Video,--,--,--
1,Wednesday,Demand Gen,--,--,--
1,Wednesday,Performance Max,--,7.21%,89.28%
1,Thursday,Search,< 10%,25.16%,63.75%
1,Thursday,Shopping,--,--,--
1,Thursday,Video,--,--,--
1,Thursday,Demand Gen,--,--,--
1,Thursday,Performance Max,--,9.57%,86.98%
1,Friday,Search,< 10%,27.92%,60.13%
1,Friday,Shopping,--,--,--
1,Friday,Video,--,--,--
1,Friday,Demand Gen,--,--,--
1,Friday,Performance Max,--,14.87%,81.54%
1,Saturday,Search,< 10%,28.94%,58.8%
1,Saturday,Shopping,--,--,--
1,Saturday,Video,--,--,--
1,Saturday,Demand Gen,--,--,--
1,Saturday,Performance Max,--,12.86%,83.68%
2,Sunday,Search,< 10%,34.02%,54.09%
2,Sunday,Shopping,--,--,--
2,Sunday,Video,--,--,--
2,Sunday,Demand Gen,--,--,--
2,Sunday,Performance Max,--,19.18%,77.35%
2,Monday,Search,< 10%,36.46%,52.51%
2,Monday,Shopping,--,--,--
2,Monday,Video,--,--,--
2,Monday,Demand Gen,--,--,--
2,Monday,Performance Max,--,15.96%,81.07%
2,Tuesday,Search,< 10%,32.11%,55.93%
2,Tuesday,Shopping,--,--,--
2,Tuesday,Video,--,--,--
2,Tuesday,Demand Gen,--,--,--
2,Tuesday,Performance Max,--,13.14%,83.36%
2,Wednesday,Search,< 10%,26.1%,62.55%
2,Wednesday,Shopping,--,--,--
2,Wednesday,Video,--,--,--
2,Wednesday,Demand Gen,--,--,--
2,Wednesday,Performance Max,--,7.33%,88.86%
2,Thursday,Search,< 10%,26.65%,61.12%
2,Thursday,Shopping,--,--,--
2,Thursday,Video,--,--,--
2,Thursday,Demand Gen,--,--,--
2,Thursday,Performance Max,--,9.58%,86.82%
2,Friday,Search,< 10%,26.88%,60.86%
2,Friday,Shopping,--,--,--
2,Friday,Video,--,--,--
2,Friday,Demand Gen,--,--,--
2,Friday,Performance Max,--,15.17%,81.14%
2,Saturday,Search,< 10%,29.41%,57.9%
2,Saturday,Shopping,--,--,--
2,Saturday,Video,--,--,--
2,Saturday,Demand Gen,--,--,--
2,Saturday,Performance Max,--,12.92%,82.92%
3,Sunday,Search,< 10%,33.53%,53.85%
3,Sunday,Shopping,--,--,--
3,Sunday,Video,--,--,--
3,Sunday,Demand Gen,--,--,--
3,Sunday,Performance Max,--,18.65%,77.78%
3,Monday,Search,10.03%,36.17%,51.24%
3,Monday,Shopping,--,--,--
