groupName,intentCluster,cost,convValue,roas,currencyCode,campaignName,assetGroupName,listingGroupKey,sourceView,intentShareBrand,intentShareSymptom,intentShareTechnology,intentShareShopping,intentShareComparison,intentShareAwareness,intentSharePurchase,intentConfidence,sourceIntent,journeyStage,journeyShareAwareness,journeyShareConsideration,journeySharePurchase,journeyPriceSignal,journeyUrgencySignal
Performance Max / NA / $270 / Previous Assets / 6453798112~7186198983,Brand,0.0,0.0,0.0,CAD,Performance Max / NA / $270,Previous Assets,6453798112~7186198983,asset_group_product_group_view,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.333,ASSET_TEXT_ONLY,Awareness,0.0,0.0,0.0,0.0,0.0
Performance Max / NA / $270 / Asset Group No. 1 / 6455461687~7451422361,Brand,0.0,0.0,0.0,CAD,Performance Max / NA / $270,Asset Group No. 1,6455461687~7451422361,asset_group_product_group_view,0.167,0.167,0.083,0.0,0.0,0.0,0.0,0.167,ASSET_TEXT_ONLY,Awareness,0.0,0.0,0.0,0.0,0.0
PMax: NA - G Shopping Generic / The Smart Topper / 6477453453~11201214952,Brand,0.0,0.0,0.0,CAD,PMax: NA - G Shopping Generic,The Smart Topper,6477453453~11201214952,asset_group_product_group_view,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ASSET_TEXT_ONLY,Awareness,0.0,0.0,0.0,0.0,0.0
US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed - Assets - Interests (FALL25) / 6614241370~13002333366,Technology,0.0,0.0,0.0,CAD,US_PerformanceMax_TotalCoverage_MaxConvtCPA,Feed - Assets - Interests (FALL25),6614241370~13002333366,asset_group_product_group_view,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118,ASSET_TEXT_ONLY,Consideration,0.306,0.672,0.022,0.047,0.006
US_PerformanceMax_Assets+Feed_MaxConvValue / Broad / 6491542238~11506146328,Technology,0.0,0.0,0.0,CAD,US_PerformanceMax_Assets+Feed_MaxConvValue,Broad,6491542238~11506146328,asset_group_product_group_view,0.086,0.029,0.143,0.0,0.0,0.0,0.0,0.143,ASSET_TEXT_ONLY,Awareness,0.0,0.0,0.0,0.0,0.0
CA_PerformanceMax_ExcludeAllBrands_MaxConvValue / Feed - Assets - Interests / 6561577181~12413812542,Technology,0.0,0.0,0.0,CAD,CA_PerformanceMax_ExcludeAllBrands_MaxConvValue,Feed - Assets - Interests,6561577181~12413812542,asset_group_product_group_view,0.061,0.091,0.121,0.0,0.0,0.0,0.0,0.121,ASSET_TEXT_ONLY,Awareness,0.0,0.0,0.0,0.0,0.0
CA_PerformanceMax_ExcludeAllBrands_MaxConvValue / Feed Only - No Interests / 6561589968~12420185291,Technology,0.0,0.0,0.0,CAD,CA_PerformanceMax_ExcludeAllBrands_MaxConvValue,Feed Only - No Interests,6561589968~12420185291,asset_group_product_group_view,0.111,0.167,0.167,0.0,0.0,0.0,0.0,0.167,ASSET_TEXT_ONLY,Awareness,0.0,0.0,0.0,0.0,0.0
CA_PerformanceMax_ExcludeAllBrands_MaxConvValue / Feed Only - Interests / 6561591147~12413807856,Technology,0.0,0.0,0.0,CAD,CA_PerformanceMax_ExcludeAllBrands_MaxConvValue,Feed Only - Interests,6561591147~12413807856,asset_group_product_group_view,0.111,0.167,0.167,0.0,0.0,0.0,0.0,0.167,ASSET_TEXT_ONLY,Awareness,0.0,0.0,0.0,0.0,0.0
US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed Only - Interests / 6482133486~11290280147,Comparison,8352.55,16287.26,1.95,CAD,US_PerformanceMax_TotalCoverage_MaxConvtCPA,Feed Only - Interests,6482133486~11290280147,asset_group_product_group_view,0.185,0.028,0.121,0.007,0.474,0.002,0.0,0.474,CAMP_TERM_INSIGHTS,Consideration,0.306,0.672,0.022,0.047,0.006
US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed - Assets - Interests / 6507862840~11806724758,Comparison,7828.82,18948.75,2.42,CAD,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA,Feed - Assets - Interests,6507862840~11806724758,asset_group_product_group_view,0.056,0.024,0.134,0.005,0.345,0.003,0.0,0.345,CAMP_TERM_INSIGHTS,Consideration,0.393,0.589,0.018,0.037,0.017
