Month,Display URL domain,Impression share,Overlap rate,Position above rate,Top of page rate,Abs. Top of page rate,Outranking share
July 2025,womenshealthmag.com,< 10%,1%,54%,68.07%,23.77%,5.95%
July 2025,amazon.com,10.97%,16.01%,55.58%,86.61%,22.38%,5.45%
December 2024,amazon.com,11.46%,15.24%,52.17%,77.37%,22.46%,7.87%
July 2025,prevention.com,< 10%,1.18%,55.6%,67.29%,18.91%,5.94%
December 2024,womenshealthmag.com,< 10%,2.25%,53.21%,50.73%,22.6%,8.45%
December 2024,nectarsleep.com,< 10%,2.63%,55.28%,61.97%,21.8%,8.43%
December 2024,dreamcloudsleep.com,< 10%,1.42%,55.72%,53.9%,18.19%,8.48%
July 2025,bedjet.com,12.22%,54%,72.73%,81.76%,48.12%,3.63%
December 2024,bedjet.com,15.4%,45.13%,85.46%,85.07%,48%,5.25%
December 2024,You,< 10%,--,--,56.41%,12.6%,--
July 2025,eightsleep.com,< 10%,31.72%,71%,90%,49.81%,4.63%
December 2024,eightsleep.com,< 10%,21.97%,81.07%,86.66%,51.94%,7.03%
December 2024,prevention.com,< 10%,3.5%,59.69%,45.7%,15.11%,8.37%
July 2025,You,< 10%,--,--,68.41%,18.65%,--
July 2025,nectarsleep.com,17.13%,3.52%,62.61%,82.76%,43.4%,5.85%
July 2025,goodhousekeeping.com,< 10%,2.75%,51.49%,65.24%,9.41%,5.9%
December 2024,goodhousekeeping.com,< 10%,1.26%,45.25%,44.77%,12.59%,8.5%
July 2025,dreamcloudsleep.com,11.65%,1.25%,68.73%,81.41%,25.47%,5.93%
January 2025,womenshealthmag.com,< 10%,3.7%,48.65%,42.89%,18.1%,7.76%
January 2025,amazon.com,< 10%,11.62%,44.34%,73.43%,19.59%,7.49%
January 2025,nectarsleep.com,< 10%,1.41%,50.39%,72.06%,28.87%,7.84%
January 2025,goodhousekeeping.com,< 10%,3.35%,45.2%,38.76%,12.65%,7.78%
January 2025,dreamcloudsleep.com,< 10%,1.46%,43.83%,45.4%,10.73%,7.85%
January 2025,eightsleep.com,< 10%,23.42%,83.59%,88.45%,61.45%,6.35%
January 2025,bedjet.com,11.94%,39.34%,78.99%,83.39%,39.2%,5.44%
January 2025,prevention.com,< 10%,5.5%,63.3%,39.68%,16.36%,7.62%
January 2025,You,< 10%,--,--,58.06%,13.9%,--
August 2025,dreamcloudsleep.com,16.08%,3.49%,74%,79.02%,24.13%,4.94%
August 2025,womenshealthmag.com,< 10%,0.96%,55.18%,67.68%,24.65%,5.04%
August 2025,eightsleep.com,< 10%,28.55%,69.36%,89.16%,49.23%,4.06%
August 2025,nectarsleep.com,21.2%,6.48%,69.95%,79.69%,35.98%,4.84%
August 2025,amazon.com,< 10%,14.84%,54.73%,87.01%,24.79%,4.66%
August 2025,bedjet.com,< 10%,46%,68.75%,81.13%,43.38%,3.46%
August 2025,prevention.com,< 10%,1.07%,50.63%,66.09%,20.88%,5.04%
August 2025,goodhousekeeping.com,10%,5.12%,51.87%,62.72%,8.95%,4.93%
August 2025,You,< 10%,--,--,71.44%,21.07%,--
September 2024,eightsleep.com,11.68%,22.95%,66.71%,88.82%,43.57%,8.45%
September 2024,goodhousekeeping.com,< 10%,2.03%,10.71%,35.79%,8.31%,9.96%
September 2024,dreamcloudsleep.com,< 10%,0.58%,42.5%,84.8%,21.06%,9.96%
September 2024,womenshealthmag.com,< 10%,1.04%,27.78%,55.4%,26.28%,9.95%
September 2024,nectarsleep.com,< 10%,1.93%,45.86%,80.6%,36.06%,9.89%
September 2024,bedjet.com,21.38%,65.25%,71.61%,84.47%,47.29%,5.32%
September 2024,amazon.com,16.93%,26.94%,35.41%,71.61%,16.03%,9.03%
September 2024,You,< 10%,--,--,73.6%,20.92%,--
September 2024,prevention.com,< 10%,0.83%,17.54%,53.39%,18.79%,9.97%
May 2025,dreamcloudsleep.com,< 10%,2.18%,58.93%,62.55%,20.2%,7.46%
May 2025,womenshealthmag.com,< 10%,3.14%,52.08%,55.66%,22.86%,7.44%
April 2025,goodhousekeeping.com,< 10%,5.69%,27.36%,38.18%,11.55%,6.35%
April 2025,amazon.com,11.61%,18.33%,49.6%,78.19%,21.18%,5.86%
April 2025,nectarsleep.com,< 10%,7.83%,51.07%,63.75%,23.47%,6.19%
May 2025,bedjet.com,19.11%,63.76%,80.68%,84.72%,49.17%,3.67%
May 2025,amazon.com,12%,13.43%,49.58%,84.81%,22.71%,7.06%
April 2025,eightsleep.com,< 10%,30.3%,78.86%,86.75%,46.14%,4.91%
May 2025,eightsleep.com,13.2%,39.39%,79.74%,90.39%,48.33%,5.19%
May 2025,goodhousekeeping.com,< 10%,3.01%,39.43%,53.68%,13.44%,7.47%
April 2025,prevention.com,< 10%,10.33%,37.2%,39.5%,11.25%,6.2%
May 2025,nectarsleep.com,< 10%,3.56%,53.65%,67.86%,20.29%,7.42%
April 2025,You,< 10%,--,--,64.65%,16.1%,--
May 2025,You,< 10%,--,--,67.35%,14.37%,--
April 2025,dreamcloudsleep.com,< 10%,5.53%,39.57%,48.4%,14.12%,6.31%
April 2025,bedjet.com,11.08%,48.66%,78.52%,82.02%,50.01%,3.99%
May 2025,prevention.com,< 10%,4.61%,54.57%,47.04%,12.43%,7.37%
April 2025,womenshealthmag.com,< 10%,6.92%,36.87%,45.22%,20.55%,6.29%
October 2024,goodhousekeeping.com,< 10%,2.13%,18.18%,40.45%,10.8%,7.9%
October 2024,amazon.com,13.02%,22.32%,38.89%,69.38%,18.59%,7.24%
October 2024,You,< 10%,--,--,73.29%,19.93%,--
October 2024,womenshealthmag.com,< 10%,1.35%,39.24%,60.09%,24.7%,7.89%
October 2024,nectarsleep.com,< 10%,2.17%,56.68%,79.61%,32.88%,7.83%
October 2024,eightsleep.com,11.61%,31.59%,68.08%,88%,50%,6.23%
October 2024,bedjet.com,15.46%,60.74%,71.62%,82.58%,44.52%,4.48%
October 2024,dreamcloudsleep.com,< 10%,0.9%,56.72%,77.22%,30.3%,7.89%
October 2024,prevention.com,< 10%,1.61%,44.07%,56.09%,19.87%,7.88%
November 2024,bedjet.com,21.4%,60.37%,81.84%,84.59%,45.57%,4.35%
November 2024,You,< 10%,--,--,61.56%,13.24%,--
November 2024,nectarsleep.com,< 10%,2.42%,54.67%,64.49%,22.58%,8.49%
November 2024,prevention.com,< 10%,2.4%,62.27%,49.65%,18.62%,8.47%
November 2024,goodhousekeeping.com,< 10%,1.13%,29.8%,42.62%,10.85%,8.57%
November 2024,dreamcloudsleep.com,< 10%,1.09%,58.23%,60.57%,20.14%,8.55%
November 2024,womenshealthmag.com,< 10%,1.56%,55.86%,54.53%,22.44%,8.53%
November 2024,eightsleep.com,12.96%,33.37%,80.01%,85.99%,53.46%,6.31%
November 2024,amazon.com,13.31%,19.32%,47.08%,75.51%,17.78%,7.82%
September 2025,goodhousekeeping.com,< 10%,5.43%,57.76%,65.07%,12.62%,5.04%
September 2025,nectarsleep.com,18.71%,7.35%,68.99%,76.91%,36.54%,4.94%
September 2025,prevention.com,< 10%,1.34%,57.82%,68.69%,23.12%,5.17%
September 2025,amazon.com,< 10%,14.17%,51.95%,86.65%,27.04%,4.83%
September 2025,dreamcloudsleep.com,13.57%,4.15%,67.09%,79.03%,26.48%,5.06%
September 2025,You,< 10%,--,--,70.64%,21.48%,--
September 2025,eightsleep.com,< 10%,29.6%,69.03%,88%,45.39%,4.14%
September 2025,bedjet.com,< 10%,42.52%,68.49%,81.81%,44.07%,3.69%
September 2025,womenshealthmag.com,< 10%,1.61%,61.44%,70.3%,26.04%,5.16%
February 2025,goodhousekeeping.com,< 10%,3.41%,50.93%,42.58%,14.56%,7.96%
February 2025,womenshealthmag.com,< 10%,3.99%,58.02%,51.98%,23.22%,7.91%
February 2025,nectarsleep.com,< 10%,2.31%,53.04%,65.37%,21.89%,8%
February 2025,eightsleep.com,< 10%,31.02%,77.86%,86.34%,51.57%,6.14%
February 2025,bedjet.com,13.15%,58.34%,81.82%,83.55%,45.82%,4.23%
February 2025,amazon.com,< 10%,14.86%,42.08%,70.05%,19.58%,7.59%
February 2025,prevention.com,10.3%,6.13%,72.74%,43.69%,17.41%,7.74%
February 2025,dreamcloudsleep.com,< 10%,1.56%,45.17%,44.11%,11.22%,8.04%
February 2025,You,< 10%,--,--,57.27%,12.3%,--
June 2025,goodhousekeeping.com,< 10%,2.57%,50.41%,65.69%,11.8%,6.68%
June 2025,dreamcloudsleep.com,< 10%,0.94%,49.61%,81.48%,28.4%,6.73%
June 2025,womenshealthmag.com,< 10%,1.05%,54.87%,63.44%,23.39%,6.72%
June 2025,prevention.com,< 10%,1.51%,59.28%,61.38%,17.34%,6.7%
June 2025,bedjet.com,18.48%,63.9%,77.23%,83.67%,51.06%,3.43%
June 2025,nectarsleep.com,10.69%,2.06%,57.67%,82%,37.25%,6.68%
June 2025,amazon.com,11.4%,13.87%,55.01%,87.28%,21.6%,6.25%
June 2025,You,< 10%,--,--,68.47%,17.29%,--
June 2025,eightsleep.com,13.07%,39%,73.98%,89.59%,46.92%,4.81%
March 2025,womenshealthmag.com,< 10%,9.06%,41.01%,50.11%,21.63%,4.73%
March 2025,prevention.com,< 10%,13.34%,49.27%,40.28%,12.92%,4.59%
March 2025,bedjet.com,< 10%,44.76%,74.1%,80.53%,47.31%,3.28%
March 2025,goodhousekeeping.com,< 10%,7.56%,29.15%,37.63%,12.81%,4.8%
March 2025,amazon.com,< 10%,16.98%,47.34%,74.42%,24.41%,4.52%
March 2025,dreamcloudsleep.com,< 10%,2.81%,32.04%,38.52%,12.26%,4.87%
March 2025,You,< 10%,--,--,65.51%,16.52%,--
March 2025,nectarsleep.com,< 10%,6.78%,45.86%,64.49%,22.58%,4.76%
March 2025,eightsleep.com,< 10%,21.53%,74.6%,84.8%,49.71%,4.12%
