Month,Day of the week,Hour of the day,Campaign type,Keyword,Search top IS,Search lost IS (budget),Search lost IS (rank)
All (2024-09-30 to 2025-09-30),All,All,Video,PS - Video Website Traffic - 2020-10-27,< 10%,0.0%,0.0%
All (2024-09-30 to 2025-09-30),All,All,Video,Video / Prospecting / CA & US,< 10%,0.0%,0.0%
All (2024-09-30 to 2025-09-30),All,All,Video,Video / Retargeting / CA & US,< 10%,0.0%,0.0%
All (2024-09-30 to 2025-09-30),All,All,Demand Gen,Discovery / Prospecting / US & CA,< 10%,0.0%,0.0%
All (2024-09-30 to 2025-09-30),All,All,Display,Display / CA & US,< 10%,0.0%,0.0%
All (2024-09-30 to 2025-09-30),All,All,Search,CA - Search - Generic,< 10%,0.0%,0.0%
All (2024-09-30 to 2025-09-30),All,All,Search,US - Search - Generic,< 10%,0.0%,0.0%
All (2024-09-30 to 2025-09-30),All,All,Search,US_Search_Branded_MaxConversiontCPA,65.4%,23.0%,6.9%
All (2024-09-30 to 2025-09-30),All,All,Search,CA_Search_Branded_MaxConversion,74.6%,12.3%,8.4%
All (2024-09-30 to 2025-09-30),All,All,Shopping,US_CA - PS - G Shopping Generic,< 10%,0.0%,0.0%
All (2024-09-30 to 2025-09-30),All,All,Shopping,NA - G Shopping Generic,< 10%,0.0%,0.0%
All (2024-09-30 to 2025-09-30),All,All,Search,NA - Search - Promotional,< 10%,0.0%,0.0%
All (2024-09-30 to 2025-09-30),All,All,Search,NA - Search - Competitive,< 10%,0.0%,0.0%
All (2024-09-30 to 2025-09-30),All,All,Performance Max,Performance Max / NA / $270,< 10%,0.0%,0.0%
All (2024-09-30 to 2025-09-30),All,All,Search,US/CA_Search_Unbranded_Competitor_EightSleep_MaxConvtCPA,12.6%,35.5%,44.9%
All (2024-09-30 to 2025-09-30),All,All,Search,US/CA_Search_Unbranded_Competitor_ChiliSleep_MaxConvtCPA,16.2%,31.6%,37.3%
All (2024-09-30 to 2025-09-30),All,All,Search,US/CA_Search_Unbranded_Competitor_BedJet_MaxConvtCPA,21.0%,30.5%,41.1%
All (2024-09-30 to 2025-09-30),All,All,Search,US+CA_Search_Unbranded_General_Exact+Phrase_MaxConv,< 10%,0.0%,0.0%
All (2024-09-30 to 2025-09-30),All,All,Search,US_Search_Branded_TIS-TOP80 US_Search_Branded_MaxConvOLD,< 10%,0.0%,0.0%
All (2024-09-30 to 2025-09-30),All,All,Search,CA_Search_Branded_TIS-TOP80 CA_Search_Branded_MaxConvOLD,< 10%,0.0%,0.0%
All (2024-09-30 to 2025-09-30),All,All,Search,US+CA_Search_Unbranded_Competitor_EightSleep_Broad_MaxConv,< 10%,0.0%,0.0%
All (2024-09-30 to 2025-09-30),All,All,Search,US+CA_Search_Unbranded_Competitor_ChiliSleep_Exact+Phrase_MaxConv,< 10%,0.0%,0.0%
All (2024-09-30 to 2025-09-30),All,All,Search,US+CA_Search_Unbranded_Competitor_BedJet_Broad_MaxConv,< 10%,0.0%,0.0%
All (2024-09-30 to 2025-09-30),All,All,Search,US/CA_Search_Unbranded_General-CoolingMattressTopper_Broad_MaxConv,< 10%,15.4%,75.8%
All (2024-09-30 to 2025-09-30),All,All,Performance Max,PMax: NA - G Shopping Generic,< 10%,0.0%,0.0%
All (2024-09-30 to 2025-09-30),All,All,Performance Max,US_PerformanceMax_TotalCoverage_MaxConvtCPA,< 10%,11.3%,75.8%
