monthKey,daysToConversion,conversions,season,channel
2024-09,0,1.0,OffSeason,Search
2024-10,0,27.749724,OffSeason,Search
2024-10,1,1.0,OffSeason,Search
2024-10,2,1.0,OffSeason,Search
2024-10,8,1.0,OffSeason,Search
2024-10,10,1.0,OffSeason,Search
2024-10,12,1.0,OffSeason,Search
2024-10,14,1.0,OffSeason,Search
2024-10,30,0.011686,OffSeason,Search
2024-10,45,1.050849,OffSeason,Search
2024-11,0,26.517574,OffSeason,Search
2024-11,3,3.0,OffSeason,Search
2024-11,5,1.0,OffSeason,Search
2024-11,6,1.0,OffSeason,Search
2024-11,12,2.0,OffSeason,Search
2024-11,13,1.0,OffSeason,Search
2024-11,14,1.0,OffSeason,Search
2024-11,21,1.005844,OffSeason,Search
2024-11,45,1.019588,OffSeason,Search
2024-11,60,0.010681,OffSeason,Search
2024-12,0,31.058757,OffSeason,Search
2024-12,1,1.0,OffSeason,Search
2024-12,4,0.022767,OffSeason,Search
2024-12,11,0.01482,OffSeason,Search
2024-12,30,1.0,OffSeason,Search
2025-01,0,22.981157,OffSeason,Search
2025-01,0,2.895334,OffSeason,Shopping
2025-01,1,2.0,OffSeason,Search
2025-01,2,0.072227,OffSeason,Shopping
2025-01,3,1.0,OffSeason,Search
2025-01,5,1.0,OffSeason,Search
2025-01,8,0.020078,OffSeason,Shopping
2025-01,12,1.0,OffSeason,Search
2025-01,21,1.0,OffSeason,Search
2025-01,60,1.0,OffSeason,Search
2025-02,0,0.823283,OffSeason,Demand Gen
2025-02,0,24.570767999999997,OffSeason,Search
2025-02,0,2.0,OffSeason,Shopping
2025-02,1,4.0,OffSeason,Search
2025-02,2,1.0,OffSeason,Search
2025-02,3,4.0,OffSeason,Search
2025-02,5,1.0,OffSeason,Search
2025-02,6,1.0,OffSeason,Search
2025-02,14,0.904054,OffSeason,Shopping
2025-02,30,1.0,OffSeason,Search
2025-03,0,26.174883,OffSeason,Search
2025-03,0,1.0,OffSeason,Shopping
2025-03,1,1.0,OffSeason,Search
2025-03,2,1.0,OffSeason,Search
2025-03,3,2.0,OffSeason,Search
2025-03,4,1.0,OffSeason,Shopping
2025-03,6,1.0,OffSeason,Search
2025-03,7,0.196769,OffSeason,Shopping
2025-03,8,1.0,OffSeason,Search
2025-03,12,0.078531,OffSeason,Shopping
2025-03,13,1.0,OffSeason,Search
2025-03,14,2.0,OffSeason,Search
2025-03,21,1.0,OffSeason,Search
2025-03,30,0.313133,OffSeason,Demand Gen
2025-03,45,1.013651,OffSeason,Search
2025-03,60,1.0,OffSeason,Search
2025-04,0,0.686867,OffSeason,Demand Gen
2025-04,0,57.288979000000005,OffSeason,Search
2025-04,0,4.986348,OffSeason,Shopping
2025-04,1,6.0,OffSeason,Search
2025-04,1,0.7099,OffSeason,Shopping
2025-04,2,1.0,OffSeason,Search
2025-04,2,1.0,OffSeason,Shopping
2025-04,3,1.0,OffSeason,Search
2025-04,7,1.0,OffSeason,Search
2025-04,8,3.0,OffSeason,Search
2025-04,8,0.094872,OffSeason,Shopping
2025-04,9,2.0,OffSeason,Search
2025-04,10,1.0,OffSeason,Search
2025-04,14,6.123793,OffSeason,Search
2025-04,14,0.024915,OffSeason,Shopping
2025-04,21,4.0,OffSeason,Search
2025-04,30,1.0,OffSeason,Search
2025-05,0,4.868307,OffSeason,Demand Gen
2025-05,0,68.95936499999999,OffSeason,Search
2025-05,0,20.435943,OffSeason,Shopping
2025-05,1,0.130699,OffSeason,Demand Gen
2025-05,1,9.0,OffSeason,Search
2025-05,1,0.034697,OffSeason,Shopping
2025-05,2,9.0,OffSeason,Search
2025-05,3,1.608289,OffSeason,Search
2025-05,3,1.0,OffSeason,Shopping
2025-05,4,1.0,OffSeason,Search
2025-05,4,1.0,OffSeason,Shopping
2025-05,5,1.0,OffSeason,Search
