campaignId,campaignName,p50,p90,deltaVsAccountMedian,conversions
22358333412,US/CA_Search_Unbranded_General-TemperatureControl_Broad_MaxConv,1,21,0,63.33
22111102696,US_Shopping_Unbranded_tROAS,1,21,0,50.95
15384688214,US_Search_Branded_MaxConversiontCPA,1,14,0,274.61
20561712149,US/CA_Search_Unbranded_General-CoolingMattressTopper_Broad_MaxConv,1,14,0,184.62
15384688217,CA_Search_Branded_MaxConversion,1,14,0,81.6
22358333415,US/CA_Search_Unbranded_General-CoolingPad_Broad_MaxConvtCPA,1,14,0,80.9
22380156685,US/CA_Search_Unbranded_DSA_MaxConvtCPA,1,14,0,76.51
18710638023,US/CA_Search_Unbranded_Competitor_EightSleep_MaxConvtCPA,1,14,0,57.84
18716536251,US/CA_Search_Unbranded_Competitor_ChiliSleep_MaxConvtCPA,1,10,0,30.19
18723673871,US/CA_Search_Unbranded_Competitor_BedJet_MaxConvtCPA,1,8,0,62.53
