daysToConversion,conversions,season,channel,device
0,405.176914,OffSeason,,Desktop
0,405.176914,OffSeason,,Mobile
0,405.176914,OffSeason,,Tablet
0,337.381677,Summer,,Desktop
0,337.381677,Summer,,Mobile
0,337.381677,Summer,,Tablet
1,36.333001,OffSeason,,Desktop
1,36.333001,OffSeason,,Mobile
1,36.333001,OffSeason,,Tablet
1,32.010999,Summer,,Desktop
1,32.010999,Summer,,Mobile
1,32.010999,Summer,,Tablet
2,15.813752,OffSeason,,Desktop
2,15.813752,OffSeason,,Mobile
2,15.813752,OffSeason,,Tablet
2,14.729255,Summer,,Desktop
2,14.729255,Summer,,Mobile
2,14.729255,Summer,,Tablet
3,15.53757,OffSeason,,Desktop
3,15.53757,OffSeason,,Mobile
3,15.53757,OffSeason,,Tablet
3,17.970737,Summer,,Desktop
3,17.970737,Summer,,Mobile
3,17.970737,Summer,,Tablet
4,4.216878,OffSeason,,Desktop
4,4.216878,OffSeason,,Mobile
4,4.216878,OffSeason,,Tablet
4,13.226449,Summer,,Desktop
4,13.226449,Summer,,Mobile
4,13.226449,Summer,,Tablet
5,8.70671,OffSeason,,Desktop
5,8.70671,OffSeason,,Mobile
5,8.70671,OffSeason,,Tablet
5,4.441353,Summer,,Desktop
5,4.441353,Summer,,Mobile
5,4.441353,Summer,,Tablet
6,5.111737,OffSeason,,Desktop
6,5.111737,OffSeason,,Mobile
6,5.111737,OffSeason,,Tablet
6,3.2369440000000003,Summer,,Desktop
6,3.2369440000000003,Summer,,Mobile
6,3.2369440000000003,Summer,,Tablet
7,2.374422,OffSeason,,Desktop
7,2.374422,OffSeason,,Mobile
7,2.374422,OffSeason,,Tablet
7,9.016486,Summer,,Desktop
7,9.016486,Summer,,Mobile
7,9.016486,Summer,,Tablet
8,8.11495,OffSeason,,Desktop
8,8.11495,OffSeason,,Mobile
8,8.11495,OffSeason,,Tablet
8,5.153873,Summer,,Desktop
8,5.153873,Summer,,Mobile
8,5.153873,Summer,,Tablet
9,5.177653,OffSeason,,Desktop
9,5.177653,OffSeason,,Mobile
9,5.177653,OffSeason,,Tablet
9,5.935741,Summer,,Desktop
9,5.935741,Summer,,Mobile
9,5.935741,Summer,,Tablet
10,2.401373,OffSeason,,Desktop
10,2.401373,OffSeason,,Mobile
10,2.401373,OffSeason,,Tablet
10,10.76013,Summer,,Desktop
10,10.76013,Summer,,Mobile
10,10.76013,Summer,,Tablet
11,1.01482,OffSeason,,Desktop
11,1.01482,OffSeason,,Mobile
11,1.01482,OffSeason,,Tablet
11,3.298083,Summer,,Desktop
11,3.298083,Summer,,Mobile
11,3.298083,Summer,,Tablet
12,4.078531,OffSeason,,Desktop
12,4.078531,OffSeason,,Mobile
12,4.078531,OffSeason,,Tablet
12,4.382838,Summer,,Desktop
12,4.382838,Summer,,Mobile
12,4.382838,Summer,,Tablet
13,4.333334,OffSeason,,Desktop
13,4.333334,OffSeason,,Mobile
13,4.333334,OffSeason,,Tablet
13,3.0,Summer,,Desktop
13,3.0,Summer,,Mobile
13,3.0,Summer,,Tablet
14,15.95167,OffSeason,,Desktop
14,15.95167,OffSeason,,Mobile
14,15.95167,OffSeason,,Tablet
14,26.949409,Summer,,Desktop
14,26.949409,Summer,,Mobile
14,26.949409,Summer,,Tablet
21,9.839178,OffSeason,,Desktop
21,9.839178,OffSeason,,Mobile
21,9.839178,OffSeason,,Tablet
21,35.538230999999996,Summer,,Desktop
21,35.538230999999996,Summer,,Mobile
21,35.538230999999996,Summer,,Tablet
30,6.245154,OffSeason,,Desktop
30,6.245154,OffSeason,,Mobile
30,6.245154,OffSeason,,Tablet
30,6.214034,Summer,,Desktop
30,6.214034,Summer,,Mobile
30,6.214034,Summer,,Tablet
45,3.1127100000000003,OffSeason,,Desktop
45,3.1127100000000003,OffSeason,,Mobile
45,3.1127100000000003,OffSeason,,Tablet
45,2.743158,Summer,,Desktop
45,2.743158,Summer,,Mobile
45,2.743158,Summer,,Tablet
60,4.440707,OffSeason,,Desktop
60,4.440707,OffSeason,,Mobile
60,4.440707,OffSeason,,Tablet
60,4.637986,Summer,,Desktop
60,4.637986,Summer,,Mobile
60,4.637986,Summer,,Tablet
