groupName,campaignName,assetGroupName,listingGroupKey,date,cost,convValue,roas,lo,hi
US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed Only / 6477743034~11194181073,US_PerformanceMax_TotalCoverage_MaxConvtCPA,Feed Only,6477743034~11194181073,2025-09-29,2.78,7.42,2.67,2.136,3.204
US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed Only / 6477743034~11194181073,US_PerformanceMax_TotalCoverage_MaxConvtCPA,Feed Only,6477743034~11194181073,2025-09-30,2.5,6.68,2.67,2.136,3.204
US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed Only / 6477743034~11194181073,US_PerformanceMax_TotalCoverage_MaxConvtCPA,Feed Only,6477743034~11194181073,2025-10-01,3.49,9.31,2.67,2.136,3.204
US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed Only / 6477743034~11194181073,US_PerformanceMax_TotalCoverage_MaxConvtCPA,Feed Only,6477743034~11194181073,2025-10-02,3.04,8.12,2.67,2.136,3.204
US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed Only / 6477743034~11194181073,US_PerformanceMax_TotalCoverage_MaxConvtCPA,Feed Only,6477743034~11194181073,2025-10-03,2.82,7.52,2.67,2.136,3.204
US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed Only / 6477743034~11194181073,US_PerformanceMax_TotalCoverage_MaxConvtCPA,Feed Only,6477743034~11194181073,2025-10-04,3.05,8.13,2.67,2.136,3.204
US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed Only / 6477743034~11194181073,US_PerformanceMax_TotalCoverage_MaxConvtCPA,Feed Only,6477743034~11194181073,2025-10-05,3.03,8.1,2.67,2.136,3.204
US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed Only / 6477743034~11194181073,US_PerformanceMax_TotalCoverage_MaxConvtCPA,Feed Only,6477743034~11194181073,2025-10-06,2.31,6.16,2.67,2.136,3.204
US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed Only / 6477743034~11194181073,US_PerformanceMax_TotalCoverage_MaxConvtCPA,Feed Only,6477743034~11194181073,2025-10-07,2.08,5.54,2.67,2.136,3.204
US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed Only / 6477743034~11194181073,US_PerformanceMax_TotalCoverage_MaxConvtCPA,Feed Only,6477743034~11194181073,2025-10-08,2.9,7.73,2.67,2.136,3.204
US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed Only / 6477743034~11194181073,US_PerformanceMax_TotalCoverage_MaxConvtCPA,Feed Only,6477743034~11194181073,2025-10-09,2.52,6.74,2.67,2.136,3.204
US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed Only / 6477743034~11194181073,US_PerformanceMax_TotalCoverage_MaxConvtCPA,Feed Only,6477743034~11194181073,2025-10-10,2.34,6.24,2.67,2.136,3.204
US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed Only / 6477743034~11194181073,US_PerformanceMax_TotalCoverage_MaxConvtCPA,Feed Only,6477743034~11194181073,2025-10-11,2.53,6.75,2.67,2.136,3.204
US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed Only / 6477743034~11194181073,US_PerformanceMax_TotalCoverage_MaxConvtCPA,Feed Only,6477743034~11194181073,2025-10-12,2.52,6.73,2.67,2.136,3.204
US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed Only / 6477743034~11194181073,US_PerformanceMax_TotalCoverage_MaxConvtCPA,Feed Only,6477743034~11194181073,2025-10-13,1.91,5.11,2.67,2.136,3.204
US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed Only / 6477743034~11194181073,US_PerformanceMax_TotalCoverage_MaxConvtCPA,Feed Only,6477743034~11194181073,2025-10-14,1.72,4.6,2.67,2.136,3.204
US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed Only / 6477743034~11194181073,US_PerformanceMax_TotalCoverage_MaxConvtCPA,Feed Only,6477743034~11194181073,2025-10-15,2.4,6.42,2.67,2.136,3.204
