dayOfWeek,hour,cvr,roas,season,currencyCode
0,0,0.0,0.0,Winter,CAD
0,0,0.0047,6.268,Spring,CAD
0,0,0.0054,5.213,Summer,CAD
0,0,0.0,0.0,Fall,CAD
0,1,0.0072,7.606,Winter,CAD
0,1,0.0,0.0,Spring,CAD
0,1,0.0,0.0,Summer,CAD
0,1,0.0075,4.857,Fall,CAD
0,2,0.0,0.0,Winter,CAD
0,2,0.0043,5.42,Spring,CAD
0,2,0.0,0.0,Summer,CAD
0,2,0.0081,6.409,Fall,CAD
0,3,0.0,0.0,Winter,CAD
0,3,0.0048,5.635,Spring,CAD
0,3,0.0,0.0,Summer,CAD
0,3,0.0057,3.245,Fall,CAD
0,4,0.0049,5.247,Winter,CAD
0,4,0.0022,2.278,Spring,CAD
0,4,0.0107,6.384,Summer,CAD
0,4,0.0,0.0,Fall,CAD
0,5,0.0065,4.975,Winter,CAD
0,5,0.0038,2.888,Spring,CAD
0,5,0.002,1.411,Summer,CAD
0,5,0.0067,5.229,Fall,CAD
0,6,0.006,4.512,Winter,CAD
0,6,0.0061,4.132,Spring,CAD
0,6,0.0117,4.573,Summer,CAD
0,6,0.0109,6.179,Fall,CAD
0,7,0.0,0.0,Winter,CAD
0,7,0.0094,7.683,Spring,CAD
0,7,0.0111,4.614,Summer,CAD
0,7,0.0039,1.938,Fall,CAD
0,8,0.0046,2.829,Winter,CAD
0,8,0.0063,4.685,Spring,CAD
0,8,0.0097,3.976,Summer,CAD
0,8,0.0148,7.274,Fall,CAD
0,9,0.0054,3.536,Winter,CAD
0,9,0.0049,4.504,Spring,CAD
0,9,0.0103,4.608,Summer,CAD
0,9,0.0064,3.425,Fall,CAD
0,10,0.003,1.755,Winter,CAD
0,10,0.0032,4.319,Spring,CAD
0,10,0.0159,6.812,Summer,CAD
0,10,0.0088,6.457,Fall,CAD
0,11,0.0032,2.642,Winter,CAD
0,11,0.0078,5.342,Spring,CAD
0,11,0.0042,1.888,Summer,CAD
0,11,0.0017,0.749,Fall,CAD
0,12,0.0042,2.579,Winter,CAD
0,12,0.0017,1.181,Spring,CAD
0,12,0.0078,3.676,Summer,CAD
0,12,0.005,4.132,Fall,CAD
0,13,0.0007,0.569,Winter,CAD
