Month,Hour of the day,Day of the week,Campaign type,Search top IS,Search lost IS (budget),Search lost IS (rank)
January 2024,0,Sunday,Search,< 10%,32.35%,57.31%
January 2024,0,Sunday,Shopping,--,--,--
January 2024,0,Sunday,Performance Max,--,18.69%,78.47%
January 2024,0,Monday,Search,< 10%,16.57%,73.64%
January 2024,0,Monday,Shopping,--,--,--
January 2024,0,Monday,Performance Max,--,9.15%,86.79%
January 2024,0,Tuesday,Search,< 10%,16.85%,73.01%
January 2024,0,Tuesday,Shopping,--,--,--
January 2024,0,Tuesday,Performance Max,--,2.65%,> 90%
January 2024,0,Wednesday,Search,< 10%,1.08%,86.13%
January 2024,0,Wednesday,Shopping,--,--,--
January 2024,0,Wednesday,Performance Max,--,21.03%,74.85%
January 2024,0,Thursday,Search,< 10%,7.24%,83.57%
January 2024,0,Thursday,Shopping,--,--,--
January 2024,0,Thursday,Performance Max,--,19.77%,76.26%
January 2024,0,Friday,Search,12.24%,16.67%,68.75%
January 2024,0,Friday,Shopping,--,--,--
January 2024,0,Friday,Performance Max,--,7.61%,89.41%
January 2024,0,Saturday,Search,< 10%,45.38%,45%
January 2024,0,Saturday,Shopping,--,--,--
January 2024,0,Saturday,Performance Max,--,18.84%,76.84%
January 2024,1,Sunday,Search,< 10%,33.48%,55.61%
January 2024,1,Sunday,Shopping,--,--,--
January 2024,1,Sunday,Performance Max,--,22.32%,73.02%
January 2024,1,Monday,Search,< 10%,18.44%,70.43%
January 2024,1,Monday,Shopping,--,--,--
January 2024,1,Monday,Performance Max,--,9.34%,84.55%
January 2024,1,Tuesday,Search,< 10%,16.93%,68.81%
January 2024,1,Tuesday,Shopping,--,--,--
January 2024,1,Tuesday,Performance Max,--,2.74%,> 90%
January 2024,1,Wednesday,Search,< 10%,0.74%,88.64%
January 2024,1,Wednesday,Shopping,--,--,--
January 2024,1,Wednesday,Performance Max,--,22.29%,71.89%
January 2024,1,Thursday,Search,< 10%,9.18%,81.64%
January 2024,1,Thursday,Shopping,--,--,--
January 2024,1,Thursday,Performance Max,--,18.48%,76.73%
January 2024,1,Friday,Search,< 10%,14.76%,74.45%
January 2024,1,Friday,Shopping,--,--,--
January 2024,1,Friday,Performance Max,--,6.02%,88.39%
January 2024,1,Saturday,Search,< 10%,44.95%,43.62%
January 2024,1,Saturday,Shopping,--,--,--
January 2024,1,Saturday,Performance Max,--,21.38%,74.12%
January 2024,2,Sunday,Search,< 10%,34.27%,55.24%
January 2024,2,Sunday,Shopping,--,--,--
January 2024,2,Sunday,Performance Max,--,32.82%,61.13%
January 2024,2,Monday,Search,< 10%,15.85%,69.33%
January 2024,2,Monday,Shopping,--,--,--
January 2024,2,Monday,Performance Max,--,10.26%,81.24%
January 2024,2,Tuesday,Search,10.84%,17.84%,66.12%
January 2024,2,Tuesday,Shopping,--,--,--
January 2024,2,Tuesday,Performance Max,--,2.96%,88.67%
January 2024,2,Wednesday,Search,< 10%,1.03%,84.5%
January 2024,2,Wednesday,Shopping,--,--,--
January 2024,2,Wednesday,Performance Max,--,21.99%,69.45%
January 2024,2,Thursday,Search,< 10%,9.56%,79.86%
January 2024,2,Thursday,Shopping,--,--,--
January 2024,2,Thursday,Performance Max,--,19.1%,73.39%
January 2024,2,Friday,Search,< 10%,12.53%,77.02%
January 2024,2,Friday,Shopping,--,--,--
January 2024,2,Friday,Performance Max,--,4.96%,87.92%
