season,campaign,cpc,absTopImprShare,cost,convValue
Fall,US/CA_Search_Unbranded_Competitor_BedJet_MaxConvtCPA,5.1775,0.0999,9091.68,18186.41
Fall,US/CA_Search_Unbranded_Competitor_ChiliSleep_MaxConvtCPA,8.0127,0.0999,8701.77,8349.88
Fall,US/CA_Search_Unbranded_Competitor_EightSleep_MaxConvtCPA,5.6301,0.0999,12797.18,26073.78
Fall,US/CA_Search_Unbranded_Competitor_SleepNumber_MaxConv,5.8294,0.0999,2646.54,2379.83
Fall,US/CA_Search_Unbranded_General-CoolingMattressTopper_Broad_MaxConv,4.5949,0.0999,31249.93,85060.25
Fall,US_Search_Branded_MaxConversiontCPA,2.8374,0.3709,3719.87,79205.44
Spring,CA_Search_Branded_MaxConversion,3.8353,0.3991,5902.58,82283.13
Spring,CA_Search_Unbranded_General_Broad_MaxConv,4.4675,0.0999,674.59,2798.2
Spring,US/CA_Search_Unbranded_Competitor_BedJet_MaxConvtCPA,5.3506,0.0999,16003.73,68440.57
Spring,US/CA_Search_Unbranded_Competitor_ChiliSleep_MaxConvtCPA,7.468,0.0999,8498.58,21992.91
Spring,US/CA_Search_Unbranded_Competitor_EightSleep_MaxConvtCPA,5.741,0.0999,17481.3,50961.54
Spring,US/CA_Search_Unbranded_Competitor_SleepNumber_MaxConv,7.3599,0.0999,2487.66,9771.8
Spring,US/CA_Search_Unbranded_DSA_MaxConvtCPA,6.1778,0.0999,12621.32,60010.71
Spring,US/CA_Search_Unbranded_General-CoolingMattressTopper_Broad_MaxConv,6.5063,0.0999,28549.62,118973.78
Spring,US/CA_Search_Unbranded_General-CoolingPad_Broad_MaxConvtCPA,4.7936,0.0999,15267.6,102155.94
Spring,US/CA_Search_Unbranded_General-TemperatureControl_Broad_MaxConv,6.4999,0.0999,12759.28,38733.92
Spring,US_Search_Branded_MaxConversiontCPA,3.6563,0.244,7773.32,184022.68
Summer,CA_Search_Branded_MaxConversion,3.9487,0.5971,8209.44,96482.49
Summer,US/CA_Search_Unbranded_Competitor_BedJet_MaxConvtCPA,5.4224,0.0999,10497.82,37754.56
Summer,US/CA_Search_Unbranded_Competitor_ChiliSleep_MaxConvtCPA,8.1322,0.0999,11084.25,26046.3
Summer,US/CA_Search_Unbranded_Competitor_EightSleep_MaxConvtCPA,5.2308,0.0999,10791.17,26484.03
Summer,US/CA_Search_Unbranded_Competitor_SleepNumber_MaxConv,8.3778,0.1073,5169.13,6323.54
Summer,US/CA_Search_Unbranded_DSA_MaxConvtCPA,6.1731,0.0999,21439.2,105767.72
Summer,US/CA_Search_Unbranded_General-AirConditionedBed_MaxConvtCPA,7.5329,0.0999,9724.96,41929.74
Summer,US/CA_Search_Unbranded_General-AthleticRecovery,6.5386,0.0999,372.7,0.0
Summer,US/CA_Search_Unbranded_General-Biohacking,12.8453,0.0999,269.75,2032.25
Summer,US/CA_Search_Unbranded_General-CoolingMattressTopper_Broad_MaxConv,7.3639,0.0999,39316.1,147485.45
Summer,US/CA_Search_Unbranded_General-CoolingPad_Broad_MaxConvtCPA,5.6142,0.0999,26499.24,77477.85
Summer,US/CA_Search_Unbranded_General-MedicalConditions,9.6898,0.0999,271.31,0.0
Summer,US/CA_Search_Unbranded_General-Menopause_MaxConvtCPA,7.3475,0.0999,11616.39,29103.9
Summer,US/CA_Search_Unbranded_General-NightSweats,5.1512,0.0999,381.19,0.0
Summer,US/CA_Search_Unbranded_General-SleepSystem_MaxConvtCPA,7.6165,0.0999,9650.05,36330.11
Summer,US/CA_Search_Unbranded_General-TemperatureControl_Broad_MaxConv,7.0758,0.0999,30036.79,99567.45
Summer,US_Search_Branded_MaxConversiontCPA,3.1815,0.413,11618.7,252227.52
Winter,CA_Search_Branded_MaxConversion,4.8906,0.6885,704.25,2308.22
Winter,CA_Search_Unbranded_General_Broad_MaxConv,3.917,0.0999,1586.38,0.0
Winter,US/CA_Search_Unbranded_Competitor_BedJet_MaxConvtCPA,5.5167,0.0999,8766.09,23597.74
Winter,US/CA_Search_Unbranded_Competitor_ChiliSleep_MaxConvtCPA,6.9021,0.0999,5956.54,11478.75
Winter,US/CA_Search_Unbranded_Competitor_EightSleep_MaxConvtCPA,5.536,0.0999,11570.26,30678.47
Winter,US/CA_Search_Unbranded_Competitor_SleepNumber_MaxConv,9.0704,0.0999,4317.5,4444.51
Winter,US/CA_Search_Unbranded_DSA_MaxConvtCPA,9.7604,0.0999,692.99,2643.88
Winter,US/CA_Search_Unbranded_General-CoolingMattressTopper_Broad_MaxConv,5.4011,0.0999,26892.17,73989.57
Winter,US/CA_Search_Unbranded_General-CoolingPad_Broad_MaxConvtCPA,5.9443,0.0999,2199.39,2291.52
Winter,US/CA_Search_Unbranded_General-TemperatureControl_Broad_MaxConv,8.1317,0.0999,3301.47,7906.7
Winter,US_Search_Branded_MaxConversiontCPA,4.5425,0.4735,8085.73,90943.89
