Month,Search keyword match type,Currency code,Cost,Avg. CPC,Conv. rate,Conv. value
September 2024,Exact match,CAD,2316.78,2.56,0.23%,4493.15
September 2024,Phrase match,CAD,2010.31,5,0.25%,2156.03
September 2024,Broad match,CAD,2362.02,3.63,0.46%,5750.24
October 2024,Exact match,CAD,8448.63,4.82,1.29%,42874.61
October 2024,Phrase match,CAD,8796.66,6.62,0.15%,4313.56
October 2024,Broad match,CAD,10494.15,4.17,0.4%,21886.84
November 2024,Exact match,CAD,5744.34,4.04,1.13%,28337.82
November 2024,Phrase match,CAD,6563.53,6.62,0.59%,12997.63
November 2024,Broad match,CAD,10693.17,4.38,0.64%,36154.2
December 2024,Exact match,CAD,3912.33,4.71,1.82%,30929.82
December 2024,Phrase match,CAD,3334.16,6.46,1.16%,14741.9
December 2024,Broad match,CAD,10220,5.45,0.64%,27019.21
January 2025,Exact match,CAD,3966.11,4.28,1.25%,27715.08
January 2025,Phrase match,CAD,3780.1,5.89,1.76%,25889.16
January 2025,Broad match,CAD,8506.64,4.91,0.41%,14334.3
February 2025,Exact match,CAD,9408.46,5.7,1.18%,45675.69
February 2025,Phrase match,CAD,8638.48,7.64,0.48%,11356.04
February 2025,Broad match,CAD,9349.01,5.11,0.64%,28462.22
March 2025,Exact match,CAD,6812.39,4.61,0.88%,34392.6
March 2025,Phrase match,CAD,6794.82,6.09,0.65%,18423.02
March 2025,Broad match,CAD,14537.37,6.64,0.77%,41391.26
April 2025,Exact match,CAD,7838.19,4.94,1.85%,68945.6
April 2025,Phrase match,CAD,7048.69,5.55,1.54%,43060.12
April 2025,Broad match,CAD,16082.23,6.77,1.13%,65889.06
May 2025,Exact match,CAD,11598.39,4.78,1.66%,95205.81
May 2025,Phrase match,CAD,10216.52,6.17,1.08%,40103.03
May 2025,Broad match,CAD,19195.99,5.48,1.09%,85637.76
June 2025,Exact match,CAD,10881.74,4.56,1.83%,93797.98
June 2025,Phrase match,CAD,10563.64,5.71,1.81%,76360.07
June 2025,Broad match,CAD,21298.28,5.82,1.32%,108336.82
July 2025,Exact match,CAD,12294.76,4.17,1.85%,126396.09
July 2025,Phrase match,CAD,11475.64,5.92,1.52%,65736.8
July 2025,Broad match,CAD,33466.45,6.39,1.34%,164540.31
August 2025,Exact match,CAD,10584.02,4.26,1.89%,109276.27
August 2025,Phrase match,CAD,9000.59,5.6,1.3%,45322.61
August 2025,Broad match,CAD,49863.36,6.93,1.04%,171091.41
September 2025,Exact match,CAD,6380.45,5.2,2.08%,55920.88
September 2025,Phrase match,CAD,4207.78,5.46,1.05%,17108.56
September 2025,Broad match,CAD,38853.06,7.45,0.73%,87024.2
