Month,Campaign type,Impr.,Clicks,Currency code,Cost,Conversions,Results value,Conv. value / cost,Search impr. share,Search lost top IS (budget),Search lost top IS (rank),CTR,Avg. CPC,Conv. rate
September 2024,Search,25291,1957,CAD,6689.11,6.13,"Purchase: 12,399.41",1.85,16.75%,10.91%,75.23%,7.74%,3.42,0.31%
September 2024,Shopping,0,0,CAD,0,0,0,0,--,--,--,0%,0,0%
September 2024,Demand Gen,0,0,CAD,0,0,0,0,--,--,--,0%,0,0%
September 2024,Performance Max,127454,1986,CAD,4803.15,17.7,"Purchase: 30,290.90",6.31,21.11%,--,--,1.56%,2.42,0.46%
October 2024,Search,91789,5599,CAD,27739.44,34.81,"Purchase: 69,075.02",2.49,17.04%,15.14%,70.74%,6.1%,4.95,0.62%
October 2024,Shopping,0,0,CAD,0,0,0,0,--,--,--,0%,0,0%
October 2024,Demand Gen,0,0,CAD,0,0,0,0,--,--,--,0%,0,0%
October 2024,Performance Max,686879,5277,CAD,22989.26,48.5,"Purchase: 100,190.69",4.36,20.2%,--,--,0.77%,4.36,0.28%
November 2024,Search,90734,4859,CAD,23001.04,37.55,"Purchase: 77,489.64",3.37,13.97%,20.34%,69.41%,5.36%,4.73,0.77%
November 2024,Demand Gen,0,0,CAD,0,0,0,0,--,--,--,0%,0,0%
November 2024,Performance Max,675582,5462,CAD,22523.07,52.02,"Purchase: 106,127.15",4.71,21.14%,--,--,0.81%,4.12,0.47%
December 2024,Search,64213,3223,CAD,17466.5,33.1,"Purchase: 72,690.93",4.16,15.76%,15.44%,74.41%,5.02%,5.42,1.03%
December 2024,Demand Gen,0,0,CAD,0,0,0,0,--,--,--,0%,0,0%
December 2024,Performance Max,2130856,11138,CAD,27428.12,46.25,"Purchase: 107,592.87",3.92,15.32%,--,--,0.52%,2.46,0.29%
January 2025,Search,66806,3302,CAD,16252.85,29.98,"Purchase: 67,938.54",4.18,14.12%,14.66%,75.74%,4.94%,4.92,0.91%
January 2025,Shopping,71802,325,CAD,1722.92,2.99,"Purchase: 6,954.25",4.04,49.34%,--,--,0.45%,5.3,0.92%
January 2025,Demand Gen,21211,1351,CAD,183.39,0,0,0,--,--,--,6.37%,0.14,0%
January 2025,Performance Max,1203179,10478,CAD,25722.17,40.99,"Purchase: 88,051.06",3.42,16.47%,--,--,0.87%,2.45,0.17%
February 2025,Search,108714,4610,CAD,27395.95,36.57,"Purchase: 85,493.95",3.12,21.1%,6.8%,79.61%,4.24%,5.94,0.79%
February 2025,Shopping,101889,453,CAD,2548.49,2.9,"Purchase: 7,197.26",2.82,51.07%,--,--,0.44%,5.63,0.64%
February 2025,Demand Gen,358489,6063,CAD,3040.7,0.82,"Purchase: 1,649.20",0.54,--,--,--,1.69%,0.5,0%
February 2025,Performance Max,834058,6861,CAD,24231.52,28.78,"Purchase: 69,620.85",2.87,15.83%,--,--,0.82%,3.53,0.12%
March 2025,Search,95617,4856,CAD,28837.56,38.19,"Purchase: 96,850.75",3.36,15.92%,12.52%,75.26%,5.08%,5.94,0.79%
March 2025,Shopping,127421,554,CAD,3503.23,2.28,"Purchase: 5,522.73",1.58,47.44%,--,--,0.43%,6.32,0.41%
March 2025,Demand Gen,535030,32065,CAD,5521.23,0.31,Purchase: 724.25,0.13,--,--,--,5.99%,0.17,0%
March 2025,Performance Max,1172815,8827,CAD,31879.32,46.97,"Purchase: 118,188.76",3.71,10.38%,--,--,0.75%,3.61,0.11%
April 2025,Search,117732,5695,CAD,34031.4,82.41,"Purchase: 194,302.80",5.71,15.15%,16.68%,72.31%,4.84%,5.98,1.45%
April 2025,Shopping,133557,697,CAD,6354.03,6.82,"Purchase: 15,933.33",2.51,49.15%,--,--,0.52%,9.12,0.98%
April 2025,Demand Gen,336113,2120,CAD,4456.29,0.69,"Purchase: 1,588.67",0.36,--,--,--,0.63%,2.1,0%
April 2025,Performance Max,872209,8376,CAD,37815.97,62.6,"Purchase: 147,832.27",3.91,12.15%,--,--,0.96%,4.51,0.15%
May 2025,Search,154224,8373,CAD,45772.87,105.17,"Purchase: 239,953.98",5.24,13.58%,35.16%,54%,5.43%,5.47,1.26%
May 2025,Shopping,246314,1206,CAD,11885.99,28.04,"Purchase: 64,422.93",5.42,41.3%,--,--,0.49%,9.86,2.33%
May 2025,Demand Gen,357042,2103,CAD,5510.28,5,"Purchase: 10,977.47",1.99,--,--,--,0.59%,2.62,0%
May 2025,Performance Max,1116803,7943,CAD,44225.16,85.83,"Purchase: 197,088.55",4.46,13.8%,--,--,0.71%,5.57,0.32%
June 2025,Search,143610,8688,CAD,47540.71,135.95,"Purchase: 303,090.19",6.38,12.06%,31.07%,59.87%,6.05%,5.47,1.56%
June 2025,Shopping,282564,1337,CAD,11298.62,22.6,"Purchase: 51,868.92",4.59,41.37%,--,--,0.47%,8.45,1.69%
June 2025,Video,0,0,CAD,0,0,0,0,--,--,--,0%,0,0%
June 2025,Demand Gen,389459,2362,CAD,4430.05,4.6,"Purchase: 10,454.69",2.36,--,--,--,0.61%,1.88,0%
June 2025,Performance Max,1267558,8407,CAD,40679.92,98.02,"Purchase: 220,571.76",5.42,15.52%,--,--,0.66%,4.84,0.33%
July 2025,Search,182921,11196,CAD,64004.24,172.86,"Purchase: 398,123.55",6.22,12.49%,26.67%,64.41%,6.12%,5.72,1.54%
July 2025,Shopping,310145,1770,CAD,11041.22,20.16,"Purchase: 45,860.91",4.15,41.61%,--,--,0.57%,6.24,1.14%
July 2025,Video,0,0,CAD,0,0,0,0,--,--,--,0%,0,0%
July 2025,Demand Gen,602257,2816,CAD,3756.09,1,"Purchase: 2,494.05",0.66,--,--,--,0.47%,1.33,0%
July 2025,Performance Max,1675577,10545,CAD,41232.86,65.37,"Purchase: 156,098.27",3.79,12.08%,--,--,0.63%,3.91,0.16%
August 2025,Search,182834,12576,CAD,77020.6,165.34,"Purchase: 371,912.87",4.83,10.93%,32.15%,59.77%,6.88%,6.12,1.31%
August 2025,Shopping,291590,1643,CAD,9930.6,17.11,"Purchase: 38,455.00",3.87,47%,--,--,0.56%,6.04,1.04%
August 2025,Demand Gen,1039589,3370,CAD,3040.47,0,Purchase: -0.00,0,--,--,--,0.32%,0.9,0%
August 2025,Performance Max,2453154,18040,CAD,36016.94,45.28,"Purchase: 106,335.20",2.95,< 10%,--,--,0.74%,2,0.1%
September 2025,Search,135004,8122,CAD,55381.6,78.61,"Purchase: 174,995.80",3.16,10.25%,15.83%,76.78%,6.02%,6.82,0.97%
September 2025,Shopping,204778,1234,CAD,7915.52,7.76,"Purchase: 19,293.23",2.44,49.56%,--,--,0.6%,6.41,0.63%
September 2025,Demand Gen,800367,2389,CAD,2962.61,0,0,0,--,--,--,0.3%,1.24,0%
September 2025,Performance Max,2156159,12539,CAD,24313.02,14.93,"Purchase: 32,120.89",1.32,< 10%,--,--,0.58%,1.94,0.01%
