segment,type,season,cvr,roas,indexVsAccount,periodType,period,clicks,conversions,convValue,cost
AGE_RANGE_18_24,AGE_RANGE,,0.0026,2.79,0.4072,all,all,5880,15.0,30271.9,10831.17
AGE_RANGE_18_24,AGE_RANGE,,0.0015,3.54,0.6922,quarter,Q1,1305,2.0,4709.73,1331.17
AGE_RANGE_18_24,AGE_RANGE,,0.0029,1.3,0.2582,quarter,Q2,1029,3.0,4338.57,3330.66
AGE_RANGE_18_24,AGE_RANGE,,0.0029,3.76,0.3783,quarter,Q3,3127,9.0,19392.07,5151.38
AGE_RANGE_18_24,AGE_RANGE,,0.0024,1.8,0.4018,quarter,Q4,419,1.0,1831.54,1017.96
AGE_RANGE_18_24,AGE_RANGE,hot,0.0037,3.17,0.3671,season,hot,2955,11.0,21328.23,6722.31
AGE_RANGE_18_24,AGE_RANGE,non_hot,0.0014,2.18,0.3859,season,non_hot,2925,4.0,8943.67,4108.86
AGE_RANGE_25_34,AGE_RANGE,,0.0058,3.98,0.9282,all,all,18374,106.836714,249131.75,62553.08
AGE_RANGE_25_34,AGE_RANGE,,0.0018,2.51,0.8106,quarter,Q1,4958,8.898711,24059.8,9595.64
AGE_RANGE_25_34,AGE_RANGE,,0.0102,5.84,0.9026,quarter,Q2,4752,48.433006,115324.82,19756.08
AGE_RANGE_25_34,AGE_RANGE,,0.0062,3.7,0.8164,quarter,Q3,6714,41.702313,94370.36,25522.5
AGE_RANGE_25_34,AGE_RANGE,,0.004,2.0,0.6737,quarter,Q4,1950,7.802684,15376.77,7678.85
AGE_RANGE_25_34,AGE_RANGE,hot,0.0088,5.15,0.8633,season,hot,9105,79.709276,185601.85,36037.8
AGE_RANGE_25_34,AGE_RANGE,non_hot,0.0029,2.4,0.8259,season,non_hot,9269,27.127438,63529.89,26515.28
AGE_RANGE_35_44,AGE_RANGE,,0.0091,4.24,1.4528,all,all,26298,239.350062,546444.29,128896.88
AGE_RANGE_35_44,AGE_RANGE,,0.0041,3.27,1.8296,quarter,Q1,6971,28.239849,66957.73,20464.47
AGE_RANGE_35_44,AGE_RANGE,,0.0132,4.94,1.1651,quarter,Q2,6707,88.244533,199177.71,40315.93
AGE_RANGE_35_44,AGE_RANGE,,0.0105,4.48,1.3851,quarter,Q3,9402,99.080139,234109.26,52291.46
AGE_RANGE_35_44,AGE_RANGE,,0.0074,2.92,1.2445,quarter,Q4,3218,23.785541000000002,46199.6,15825.02
AGE_RANGE_35_44,AGE_RANGE,hot,0.013,5.14,1.2833,season,hot,12948,168.491338,387661.69,75383.64
