groupName,campaignName,assetGroupName,listingGroupKey,weekday,avgROAS,avgCost,stability
US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed Only / 6477743034~11194181073,US_PerformanceMax_TotalCoverage_MaxConvtCPA,Feed Only,6477743034~11194181073,0,9.885,80.91,0.0
US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed Only / 6477743034~11194181073,US_PerformanceMax_TotalCoverage_MaxConvtCPA,Feed Only,6477743034~11194181073,1,1.767,74.78,0.033
US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed Only / 6477743034~11194181073,US_PerformanceMax_TotalCoverage_MaxConvtCPA,Feed Only,6477743034~11194181073,2,1.041,107.12,0.059
US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed Only / 6477743034~11194181073,US_PerformanceMax_TotalCoverage_MaxConvtCPA,Feed Only,6477743034~11194181073,3,1.41,95.91,0.036
US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed Only / 6477743034~11194181073,US_PerformanceMax_TotalCoverage_MaxConvtCPA,Feed Only,6477743034~11194181073,4,2.306,91.21,0.021
US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed Only / 6477743034~11194181073,US_PerformanceMax_TotalCoverage_MaxConvtCPA,Feed Only,6477743034~11194181073,5,2.342,101.35,0.03
US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed Only / 6477743034~11194181073,US_PerformanceMax_TotalCoverage_MaxConvtCPA,Feed Only,6477743034~11194181073,6,1.436,103.68,0.037
US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed Only - Interests / 6482133486~11290280147,US_PerformanceMax_TotalCoverage_MaxConvtCPA,Feed Only - Interests,6482133486~11290280147,0,2.9,128.15,0.025
US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed Only - Interests / 6482133486~11290280147,US_PerformanceMax_TotalCoverage_MaxConvtCPA,Feed Only - Interests,6482133486~11290280147,1,38.769,109.59,0.0
US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed Only - Interests / 6482133486~11290280147,US_PerformanceMax_TotalCoverage_MaxConvtCPA,Feed Only - Interests,6482133486~11290280147,2,1.822,109.21,0.012
US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed Only - Interests / 6482133486~11290280147,US_PerformanceMax_TotalCoverage_MaxConvtCPA,Feed Only - Interests,6482133486~11290280147,3,0.0,77.58,1.0
US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed Only - Interests / 6482133486~11290280147,US_PerformanceMax_TotalCoverage_MaxConvtCPA,Feed Only - Interests,6482133486~11290280147,4,1.77,118.73,0.032
US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed Only - Interests / 6482133486~11290280147,US_PerformanceMax_TotalCoverage_MaxConvtCPA,Feed Only - Interests,6482133486~11290280147,5,0.0,97.85,1.0
US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed Only - Interests / 6482133486~11290280147,US_PerformanceMax_TotalCoverage_MaxConvtCPA,Feed Only - Interests,6482133486~11290280147,6,4.755,117.81,0.008
US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed Only - Interests / 6506889828~11796932872,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA,Feed Only - Interests,6506889828~11796932872,0,2.712,86.09,0.018
US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed Only - Interests / 6506889828~11796932872,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA,Feed Only - Interests,6506889828~11796932872,1,2.339,80.78,0.028
US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed Only - Interests / 6506889828~11796932872,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA,Feed Only - Interests,6506889828~11796932872,2,3.807,93.97,0.012
US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed Only - Interests / 6506889828~11796932872,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA,Feed Only - Interests,6506889828~11796932872,3,9.86,81.94,0.002
US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed Only - Interests / 6506889828~11796932872,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA,Feed Only - Interests,6506889828~11796932872,4,3.581,97.49,0.009
US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed Only - Interests / 6506889828~11796932872,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA,Feed Only - Interests,6506889828~11796932872,5,1.406,94.9,0.056
US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed Only - Interests / 6506889828~11796932872,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA,Feed Only - Interests,6506889828~11796932872,6,6.289,95.34,0.005
US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed Only - No Interests / 6506892143~11796932869,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA,Feed Only - No Interests,6506892143~11796932869,0,3.085,81.2,0.018
US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed Only - No Interests / 6506892143~11796932869,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA,Feed Only - No Interests,6506892143~11796932869,1,3.663,94.52,0.011
US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed Only - No Interests / 6506892143~11796932869,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA,Feed Only - No Interests,6506892143~11796932869,2,3.366,88.75,0.017
US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed Only - No Interests / 6506892143~11796932869,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA,Feed Only - No Interests,6506892143~11796932869,3,1.962,87.9,0.019
US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed Only - No Interests / 6506892143~11796932869,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA,Feed Only - No Interests,6506892143~11796932869,4,2.463,90.75,0.012
US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed Only - No Interests / 6506892143~11796932869,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA,Feed Only - No Interests,6506892143~11796932869,5,6.26,83.54,0.006
US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed Only - No Interests / 6506892143~11796932869,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA,Feed Only - No Interests,6506892143~11796932869,6,4.801,80.59,0.007
US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed - Assets - Interests / 6507837599~11798192132,US_PerformanceMax_TotalCoverage_MaxConvtCPA,Feed - Assets - Interests,6507837599~11798192132,0,0.352,91.08,0.257
US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed - Assets - Interests / 6507837599~11798192132,US_PerformanceMax_TotalCoverage_MaxConvtCPA,Feed - Assets - Interests,6507837599~11798192132,1,0.142,99.5,0.674
US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed - Assets - Interests / 6507837599~11798192132,US_PerformanceMax_TotalCoverage_MaxConvtCPA,Feed - Assets - Interests,6507837599~11798192132,2,3.676,94.07,0.011
US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed - Assets - Interests / 6507837599~11798192132,US_PerformanceMax_TotalCoverage_MaxConvtCPA,Feed - Assets - Interests,6507837599~11798192132,3,2.253,91.51,0.016
