token,ctrLift,cvrLift,roasLift,freq
sleep,-0.0008,-0.0572,-0.3276,76
topper,0.0001,0.0204,-0.1548,61
smart,-0.0005,-0.0027,-0.2436,50
perfectly,0.0029,-0.0076,0.1666,42
snug,0.0029,-0.0074,0.1633,42
cooling,0.0031,0.2688,1.0923,41
night,-0.0002,-0.0514,0.0242,28
mattress,0.0025,0.1779,0.1951,26
cool,-0.0004,-0.0575,-0.0939,23
temperature,0.0022,0.2676,1.0515,18
better,-0.0008,-0.0637,-0.4991,16
hot,-0.0006,-0.0506,-0.3231,14
sweats,0.016,-0.0613,0.1403,14
system,0.002,0.3297,1.3421,13
bed,-0.0015,0.1092,-0.1789,12
today,-0.0005,0.0427,0.3997,12
our,-0.0007,0.019,0.3229,12
save,-0.0014,0.0604,1.8554,11
body,0.0029,0.3224,1.1417,10
air,0.0006,0.464,2.457,9
why,-0.0007,0.1737,2.096,8
best,0.003,-0.0157,-0.273,8
free,-0.0008,-0.0606,0.469,8
relief,0.0182,0.1265,2.6741,8
heating,0.0114,0.0737,1.9069,7
leaks,-0.0015,-0.063,-0.1685,7
cooler,-0.0042,-0.0368,3.2211,7
perfect,0.0197,-0.025,2.6739,7
try,-0.0008,-0.0608,0.4603,7
don,-0.0006,-0.0615,0.057,7
easy,-0.0042,0.1063,2.3673,7
sleeping,-0.0007,-0.0636,-0.1226,7
nights,-0.0006,-0.059,0.0864,7
world,-0.0001,0.0764,-0.1419,6
see,0.0002,0.2079,2.3237,6
all,-0.0003,-0.0047,0.0891,6
pro,-0.0042,-0.0579,1.6985,6
water,-0.0018,-0.0327,0.206,6
airflow,0.0066,0.0059,0.8453,6
cools,0.0041,-0.0139,1.4768,5
maintenance,-0.0014,-0.0635,-0.2367,5
shop,-0.0005,0.077,0.3849,5
control,0.0041,0.177,2.0748,5
temp,0.0075,-0.0336,2.3561,5
just,-0.0002,-0.0524,-0.6477,5
adjusts,0.0028,0.3432,1.1308,5
while,0.012,0.1994,2.4107,5
risk,-0.0008,-0.0608,0.4603,5
recovery,-0.0042,-0.064,-0.9533,5
